,Steps,Extra Steps,Close Sniff Rate,Far Sniff Rate,Surge Sniff Rate,Cast Sniff Rate
0,575,335.0,0.08424908424908426,0.12292358803986711,0.10299003322259136,0.2446351931330472
1,557,317.0,0.08235294117647059,0.12292358803986711,0.09060402684563758,0.248868778280543
2,439,199.0,0.05970149253731343,0.125,0.09125475285171103,0.23563218390804597
3,437,197.0,0.0948905109489051,0.12374581939799331,0.10526315789473684,0.23121387283236994
4,439,199.0,0.07913669064748201,0.12374581939799331,0.09885931558935361,0.23295454545454544
5,554,314.0,0.07936507936507936,0.12292358803986711,0.09302325581395349,0.24170616113744076
6,437,197.0,0.05303030303030303,0.12828947368421054,0.09505703422053231,0.24293785310734464
7,553,313.0,0.08366533864541832,0.12292358803986711,0.09570957095709572,0.2511415525114155
8,565,325.0,0.07984790874524715,0.12292358803986711,0.10197368421052631,0.25
9,457,217.0,0.10666666666666667,0.13725490196078433,0.1213235294117647,0.25906735751295334
10,561,321.0,0.08108108108108109,0.12292358803986711,0.09602649006622517,0.23766816143497757
11,437,197.0,0.08029197080291971,0.12374581939799331,0.09505703422053231,0.23121387283236994
12,573,333.0,0.08914728682170543,0.12420382165605096,0.10097719869706841,0.2610619469026549
13,560,320.0,0.07751937984496124,0.12292358803986711,0.0903010033444816,0.2422907488986784
14,439,199.0,0.06716417910447761,0.12828947368421054,0.09505703422053231,0.24293785310734464
15,434,194.0,0.07462686567164178,0.12374581939799331,0.09848484848484848,0.23863636363636365
16,440,200.0,0.07352941176470588,0.12871287128712872,0.10150375939849623,0.23863636363636365
17,553,313.0,0.08366533864541832,0.12292358803986711,0.10749185667752444,0.25
18,562,322.0,0.08235294117647059,0.13071895424836602,0.10967741935483871,0.2610619469026549
19,554,314.0,0.0873015873015873,0.12292358803986711,0.09900990099009901,0.2511415525114155
20,556,316.0,0.07874015748031496,0.12292358803986711,0.10197368421052631,0.2383177570093458
21,440,200.0,0.1,0.12374581939799331,0.10566037735849057,0.24581005586592178
22,468,228.0,0.10429447852760736,0.125,0.10566037735849057,0.23857868020304568
23,570,330.0,0.10526315789473684,0.12211221122112212,0.11475409836065574,0.26576576576576577
24,557,317.0,0.07936507936507936,0.125,0.0924092409240924,0.24651162790697675
25,576,336.0,0.10948905109489052,0.12292358803986711,0.11363636363636363,0.2782608695652174
26,555,315.0,0.08300395256916997,0.12292358803986711,0.09602649006622517,0.2465753424657534
27,432,192.0,0.06060606060606061,0.12374581939799331,0.08812260536398467,0.23121387283236994
28,438,198.0,0.08695652173913043,0.12374581939799331,0.1018867924528302,0.24157303370786518
29,435,195.0,0.08148148148148149,0.12374581939799331,0.09848484848484848,0.23121387283236994
30,442,202.0,0.08450704225352113,0.12374581939799331,0.10227272727272728,0.23728813559322035
31,554,314.0,0.0873015873015873,0.12292358803986711,0.10163934426229508,0.25229357798165136
32,433,193.0,0.06766917293233082,0.12374581939799331,0.09541984732824428,0.23563218390804597
33,441,201.0,0.06382978723404255,0.12374581939799331,0.08914728682170543,0.23163841807909605
34,443,203.0,0.06293706293706294,0.12374581939799331,0.09230769230769231,0.22598870056497175
35,445,205.0,0.09859154929577464,0.12582781456953643,0.10820895522388059,0.2388888888888889
36,439,199.0,0.07913669064748201,0.12374581939799331,0.08846153846153847,0.24157303370786518
37,435,195.0,0.06666666666666667,0.12374581939799331,0.0916030534351145,0.23121387283236994
38,435,195.0,0.06666666666666667,0.12374581939799331,0.09195402298850575,0.23728813559322035
39,447,207.0,0.057971014492753624,0.12337662337662338,0.08778625954198473,0.23295454545454544
40,452,212.0,0.10204081632653061,0.13157894736842105,0.11439114391143912,0.25133689839572193
41,574,334.0,0.08178438661710037,0.12171052631578948,0.09966777408637874,0.2350230414746544
42,573,333.0,0.07662835249042145,0.12861736334405144,0.09271523178807947,0.24782608695652175
43,437,197.0,0.08029197080291971,0.12374581939799331,0.09848484848484848,0.24431818181818182
44,557,317.0,0.0796812749003984,0.12459016393442623,0.08940397350993377,0.24770642201834864
45,559,319.0,0.08,0.12987012987012986,0.09508196721311475,0.24651162790697675
46,458,218.0,0.0759493670886076,0.12374581939799331,0.09765625,0.22340425531914893
47,440,200.0,0.08571428571428572,0.12374581939799331,0.10227272727272728,0.23295454545454544
48,559,319.0,0.08171206225680934,0.12292358803986711,0.09333333333333334,0.24311926605504589
49,557,317.0,0.0873015873015873,0.125,0.10423452768729642,0.2557077625570776
50,434,194.0,0.05970149253731343,0.12374581939799331,0.09195402298850575,0.23563218390804597
51,556,316.0,0.07874015748031496,0.12292358803986711,0.09666666666666666,0.24186046511627907
52,443,203.0,0.06293706293706294,0.12374581939799331,0.0916030534351145,0.22598870056497175
53,446,206.0,0.0821917808219178,0.12374581939799331,0.10606060606060606,0.24277456647398843
54,448,208.0,0.06756756756756757,0.12374581939799331,0.09090909090909091,0.22950819672131148
55,560,320.0,0.10077519379844961,0.12292358803986711,0.10749185667752444,0.2610619469026549
56,460,220.0,0.125,0.12374581939799331,0.12075471698113208,0.24193548387096775
57,440,200.0,0.07142857142857142,0.12374581939799331,0.09541984732824428,0.23728813559322035
